name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee
João Mário,Central Midfield,27,13000000,Italy,Serie A,Inter Milan,Portugal,Liga NOS,Sporting CP,Loan
Alphonse Areola,Goalkeeper,27,13000000,France,Ligue 1,Paris Saint-Germain,England,Premier League,Fulham FC,Loan
Joe Rodon,Centre-Back,22,7000000,Wales,Championship,Swansea City,England,Premier League,Tottenham Hotspur,12000000
Dejan Lovren,Centre-Back,31,12000000,England,Premier League,Liverpool FC,Russia,Premier Liga,Zenit St. Petersburg,12000000
Mohammed Salisu,Centre-Back,21,12000000,Spain,LaLiga,Real Valladolid CF,England,Premier League,Southampton FC,12000000
Martin Terrier,Left Winger,23,10000000,France,Ligue 1,Olympique Lyon,France,Ligue 1,Stade Rennais FC,12000000
Oussama Idrissi,Left Winger,24,12000000,Netherlands,Eredivisie,AZ Alkmaar,Spain,LaLiga,Sevilla FC,12000000
Davy Klaassen,Central Midfield,27,12000000,Germany,Bundesliga,SV Werder Bremen,Netherlands,Eredivisie,Ajax Amsterdam,11000000
Rolando Mandragora,Defensive Midfield,23,12000000,Italy,Serie A,Udinese Calcio,Italy,Serie A,Juventus FC,10000000
Marcos Acuña,Left-Back,28,12000000,Portugal,Liga NOS,Sporting CP,Spain,LaLiga,Sevilla FC,10000000
Habib Diallo,Centre-Forward,25,12000000,France,Ligue 1,FC Metz,France,Ligue 1,RC Strasbourg Alsace,10000000
Dudu,Right Winger,28,12000000,Brazil,Série A,Sociedade Esportiva Palmeiras,Qatar,Stars League,Al-Duhail SC,7000000
Santiago Arias,Right-Back,28,12000000,Spain,LaLiga,Atlético Madrid,Germany,Bundesliga,Bayer 04 Leverkusen,3000000
Gonçalo Paciência,Centre-Forward,26,12000000,Germany,Bundesliga,Eintracht Frankfurt,Germany,Bundesliga,FC Schalke 04,2000000
Daniele Rugani,Centre-Back,26,12000000,Italy,Serie A,Juventus FC,France,Ligue 1,Stade Rennais FC,1000000
Theo Walcott,Right Winger,31,12000000,England,Premier League,Everton FC,England,Premier League,Southampton FC,Loan
Benjamin Henrichs,Right-Back,23,12000000,Monaco,Ligue 1,AS Monaco,Germany,Bundesliga,RB Leipzig,Loan
Maxime López,Central Midfield,22,12000000,France,Ligue 1,Olympique Marseille,Italy,Serie A,US Sassuolo,Loan
Diogo Dalot,Right-Back,21,12000000,England,Premier League,Manchester United,Italy,Serie A,AC Milan,Loan
Maxime López,Central Midfield,22,12000000,France,Ligue 1,Olympique Marseille,Italy,Serie A,US Sassuolo,Loan
Theo Walcott,Right Winger,31,12000000,England,Premier League,Everton FC,England,Premier League,Southampton FC,Loan
Anthony Knockaert,Right Winger,28,6000000,England,Premier League,Brighton & Hove Albion,England,Premier League,Fulham FC,11000000
Chidera Ejuke,Left Winger,22,5000000,Netherlands,Eredivisie,SC Heerenveen,Russia,Premier Liga,CSKA Moscow,11000000
Pol Lirola,Right-Back,23,10000000,Italy,Serie A,US Sassuolo,Italy,Serie A,ACF Fiorentina,11000000
Carles Pérez,Right Winger,22,9000000,Spain,LaLiga,FC Barcelona,Italy,Serie A,AS Roma,11000000
Kevin Bonifazi,Centre-Back,24,4000000,Italy,Serie A,Torino FC,Italy,Serie B,SPAL,11000000
Adolfo Gaich,Centre-Forward,21,11000000,Argentina,Without League,Club Atlético San Lorenzo de Almagro,Russia,Premier Liga,CSKA Moscow,8000000
Maximilian Philipp,Second Striker,26,11000000,Russia,Premier Liga,Dynamo Moscow,Germany,Bundesliga,VfL Wolfsburg,2000000
Hannes Wolf,Attacking Midfield,21,11000000,Germany,Bundesliga,RB Leipzig,Germany,Bundesliga,Borussia Mönchengladbach,1000000
Tanguy Nianzou,Centre-Back,18,11000000,France,Ligue 1,Paris Saint-Germain,Germany,Bundesliga,Bayern Munich,Free transfer
Arturo Vidal,Central Midfield,33,11000000,Spain,LaLiga,FC Barcelona,Italy,Serie A,Inter Milan,Free transfer
Félix Correia,Right Winger,19,1000000,England,Premier League 2,Manchester City U23,Italy,Serie C - A,Juventus U23,10000000
Ondrej Duda,Attacking Midfield,25,10000000,Germany,Bundesliga,Hertha BSC,Germany,Bundesliga,1. FC Köln,7000000
Blaise Matuidi,Central Midfield,33,10000000,Italy,Serie A,Juventus FC,United States,MLS,Inter Miami CF,Free transfer
Pablo Moreno,Centre-Forward,18,-,Italy,Primavera 1,Juventus Primavera,England,Premier League,Manchester City,10000000
Baptiste Santamaria,Defensive Midfield,25,7000000,France,Ligue 1,SCO Angers,Germany,Bundesliga,SC Freiburg,10000000
Alfred Gomis,Goalkeeper,27,2000000,France,Ligue 1,Dijon FCO,France,Ligue 1,Stade Rennais FC,10000000
Ridle Baku,Right-Back,22,7000000,Germany,Bundesliga,1.FSV Mainz 05,Germany,Bundesliga,VfL Wolfsburg,10000000
Hee-chan Hwang,Centre-Forward,24,10000000,Austria,Bundesliga,Red Bull Salzburg,Germany,Bundesliga,RB Leipzig,9000000
Karol Linetty,Central Midfield,25,10000000,Italy,Serie A,UC Sampdoria,Italy,Serie A,Torino FC,7000000
Lucas Martínez Quarta,Centre-Back,24,10000000,Argentina,Without League,Club Atlético River Plate,Italy,Serie A,ACF Fiorentina,6000000
Mario Lemina,Defensive Midfield,27,10000000,England,Premier League,Southampton FC,England,Premier League,Fulham FC,2000000
