name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee
Sergiño Dest,Right-Back,19,18000000,Netherlands,Eredivisie,Ajax Amsterdam,Spain,LaLiga,FC Barcelona,21000000
Amad Diallo,Right Winger,18,-,Italy,Serie A,Atalanta BC,England,Premier League,Manchester United,21000000
Aaron Ramsdale,Goalkeeper,22,12000000,England,Championship,AFC Bournemouth,England,Premier League,Sheffield United,20000000
Wendel,Central Midfield,23,12000000,Portugal,Liga NOS,Sporting CP,Russia,Premier Liga,Zenit St. Petersburg,20000000
Lucas Paquetá,Attacking Midfield,23,20000000,Italy,Serie A,AC Milan,France,Ligue 1,Olympique Lyon,20000000
Diego Llorente,Centre-Back,27,20000000,Spain,LaLiga,Real Sociedad,England,Premier League,Leeds United,20000000
Alexander Sörloth,Centre-Forward,24,20000000,England,Premier League,Crystal Palace,Germany,Bundesliga,RB Leipzig,20000000
Simone Verdi,Attacking Midfield,28,13000000,Italy,Serie A,SSC Napoli,Italy,Serie A,Torino FC,20000000
Stefano Sensi,Central Midfield,25,20000000,Italy,Serie A,US Sassuolo,Italy,Serie A,Inter Milan,20000000
Pierre-Emile Höjbjerg,Defensive Midfield,25,20000000,England,Premier League,Southampton FC,England,Premier League,Tottenham Hotspur,16000000
Chris Smalling,Centre-Back,30,20000000,England,Premier League,Manchester United,Italy,Serie A,AS Roma,15000000
Weston McKennie,Central Midfield,22,20000000,Germany,Bundesliga,FC Schalke 04,Italy,Serie A,Juventus FC,4000000
Carlos Vinícius,Centre-Forward,25,20000000,Portugal,Liga NOS,SL Benfica,England,Premier League,Tottenham Hotspur,3000000
Ivan Rakitic,Central Midfield,32,20000000,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Sevilla FC,1000000
Justin Kluivert,Left Winger,21,20000000,Italy,Serie A,AS Roma,Germany,Bundesliga,RB Leipzig,1000000
Henrikh Mkhitaryan,Attacking Midfield,31,20000000,England,Premier League,Arsenal FC,Italy,Serie A,AS Roma,Free transfer
Douglas Costa,Right Winger,30,20000000,Italy,Serie A,Juventus FC,Germany,Bundesliga,Bayern Munich,Loan
Edinson Cavani,Centre-Forward,33,20000000,France,Ligue 1,Paris Saint-Germain,England,Premier League,Manchester United,Free transfer
Gerard Deulofeu,Left Winger,26,20000000,England,Championship,Watford FC,Italy,Serie A,Udinese Calcio,Loan
Dani Parejo,Central Midfield,31,20000000,Spain,LaLiga,Valencia CF,Spain,LaLiga,Villarreal CF,Free transfer
Rayan Aït Nouri,Left-Back,19,20000000,France,Ligue 1,SCO Angers,England,Premier League,Wolverhampton Wanderers,Loan
Andrea Pinamonti,Centre-Forward,21,13000000,Italy,Serie A,Inter Milan,Italy,Serie A,Genoa CFC,19000000
Bertrand Traoré,Right Winger,25,9000000,France,Ligue 1,Olympique Lyon,England,Premier League,Aston Villa,18000000
Pedrinho,Right Winger,22,13000000,Brazil,Série A,Sport Club Corinthians Paulista,Portugal,Liga NOS,SL Benfica,18000000
Roberto Inglese,Centre-Forward,28,12000000,Italy,Serie A,SSC Napoli,Italy,Serie A,Parma Calcio 1913,18000000
Antony,Right Winger,20,18000000,Brazil,Série A,São Paulo Futebol Clube,Netherlands,Eredivisie,Ajax Amsterdam,15000000
Aleksey Miranchuk,Attacking Midfield,25,18000000,Russia,Premier Liga,Lokomotiv Moscow,Italy,Serie A,Atalanta BC,14000000
Marc Cucurella,Left Midfield,22,18000000,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Getafe CF,10000000
Florentino,Defensive Midfield,21,18000000,Portugal,Liga NOS,SL Benfica,Monaco,Ligue 1,AS Monaco,1000000
Robinho,Left Winger,36,18000000,Turkey,Süper Lig,Istanbul Basaksehir FK,Brazil,Série A,Santos FC,Free transfer
Eberechi Eze,Attacking Midfield,22,9000000,England,Championship,Queens Park Rangers,England,Premier League,Crystal Palace,17000000
Hélder Costa,Right Winger,26,8000000,England,Premier League,Wolverhampton Wanderers,England,Premier League,Leeds United,17000000
Suso,Right Winger,26,17000000,Italy,Serie A,AC Milan,Spain,LaLiga,Sevilla FC,21000000
